gene	pvalue	FC	fdr
FOXR2	1.72413650751381e-05	1.0354720254237142	4.116450485067574e-05
FOXRED1	2.9458299059725338e-06	1.0908844033079754	8.897273770923808e-06
FOXRED2	5.345970077676973e-06	1.042869311841763	1.4760244776125219e-05
FOXS1	0.0005258632859832418	1.1193668799908159	0.0008904188155299063
FPGS	3.579993912840931e-08	1.2398205093870633	2.8617328908333507e-07
FPR1	0.10085140345666511	1.0379516005634934	0.12014788137436638
FRA10AC1	4.9662055406173856e-06	0.8597337106521284	1.3829939480200314e-05
FRAS1	1.3347573666390585e-06	1.119464023341573	4.616454050029826e-06
FRAT1	3.4035435987098066e-10	1.5089106671271515	1.6401838675687256e-08
FRAT2	0.16205382537049806	1.591351690596647	0.1874982522198293
FREM1	2.378206026223188e-09	1.0647101818318772	4.865386452569811e-08
FREM2	2.5970470902839015e-06	1.061715923136946	8.01609898953022e-06
FRMD1	2.407184666740691e-06	1.0684922833479107	7.518737292412282e-06
FRMD3	0.0007261474831379094	1.13378257500663	0.001200753681267262
FRMD4A	6.2598279153731765e-09	1.1634021723351766	8.709824725514648e-08
FRMD4B	3.090913186450577e-08	1.1511076393210125	2.585127392304119e-07
FRMD5	0.0003780702293980201	1.0403251098360695	0.0006578525999841753
FRMD6	8.27821104658364e-06	1.0869702143548872	2.1539808653949204e-05
FRMD7	0.3746115937855139	0.9743626534981804	0.40907877085562916
FRMD8	2.0666533378737777e-06	1.0636981433753077	6.626911210165599e-06
FRMPD2	1.5994572046881398e-06	1.073010017045273	5.365692898821207e-06
FRMPD3	0.8688606219442401	1.0077613754312416	0.883172910212506
FRMPD4	0.6760024412734124	1.0030489110013756	0.7041112294860985
FRRS1	7.301140134383021e-07	1.0530144049319328	2.8151208341359987e-06
FRRS1L	0.09357046975588765	1.0236249055550006	0.11201890622195382
FRS2	0.20992452624130553	1.024019900091451	0.23864706869939473
FRS3	0.0008431237878935122	1.0181853405650367	0.0013751605351051376
FRY	1.936273203057146e-05	1.0457670516577613	4.556996468590306e-05
FRYL	8.27821104658364e-06	1.081332226442511	2.1539808653949204e-05
FRZB	8.116755048216722e-07	1.4987480555102548	3.0695650630774745e-06
FSCN1	1.5190769116132199e-06	1.0965659515140962	5.1460806780380895e-06
FSCN2	9.147556201220642e-11	1.4460277039214244	8.120462171609903e-09
FSCN3	0.004398429025937768	1.1228190248874625	0.006366754325711388
