gene	pvalue	FC	fdr
EDDM3A	1	0.8977324660253896	1.0
EDDM3B	1	0.8637649458088358	1.0
EDEM1	1	1.1606868102512846	1.0
EDEM2	1	1.002433343196529	1.0
EDEM3	1	0.9707174184670369	1.0
EDF1	1	1.0052311368392777	1.0
EDIL3	1	1.1033623052695838	1.0
EDN1	9.814740241699706e-05	1.7131110776197898	0.0010996676383544215
EDN2	1	1.0860972877715176	1.0
EDN3	0.0411116262800624	0.7398399784334492	0.2645977460960282
EDNRA	1	1.054951213601828	1.0
EDNRB	0.00018910062402879488	1.4267741036686372	0.0019932403930858853
EEA1	1	0.8911540426315308	1.0
EED	0.15258470835606217	0.6263941413484979	0.8802521528041958
EEF1A1	1	0.9558523077510173	1.0
EEF1A2	7.62486663132815e-09	1.2482222939683787	3.120282989103672e-07
EEF1AKMT1	9.495341726825837e-08	1.2977257800940007	2.2601276069839725e-06
EEF1AKMT2	1	0.9960516297347444	1.0
EEF1D	1	1.0059879262278921	1.0
EEF2	1	1.032495326384595	1.0
EEF2K	1	1.0541757160382665	1.0
EEF2KMT	1	1.0151316337803338	1.0
EEFSEC	1	1.0681599131156811	1.0
EEPD1	1	1.077585183555415	1.0
EFCAB10	1	1.0036688761326524	1.0
EFCAB12	1	1.0672847812348483	1.0
EFCAB14	1	0.9543500298493814	1.0
EFCAB2	1	1.100955856141622	1.0
EFCAB3	1	1.0425295494370428	1.0
EFCAB5	1	1.0139893459771727	1.0
EFCAB6	1	0.9256431371413149	1.0
EFCAB8	1	1.0803621151380671	1.0
EFCAB9	1	1.0259616454026455	1.0
EFCC1	1	1.103812440251606	1.0
EFEMP1	3.57415623343507e-09	1.5689494987308885	1.8669781963386943e-07
EFEMP2	2.704444883299203e-08	1.5046152862880533	8.068524159628519e-07
EFHB	1	1.0032044059896434	1.0
EFHC1	1	1.0871667390076984	1.0
EFHC2	0.02516516963758307	1.2117593090663519	0.1694469517392032
EFHD1	3.130996602051456e-05	1.2612608898184896	0.0003953787375775374
EFHD2	1	1.057259648106138	1.0
EFL1	4.765541644580094e-10	2.407130992913786	5.402712212614691e-08
EFNA1	5.242095809038103e-09	1.3581797446115327	2.431220495676611e-07
EFNA2	1	0.9691437707029202	1.0
EFNA5	1	1.0684579844588429	1.0
EFNB1	1	1.0366622954333087	1.0
EFNB2	4.697501623749601e-05	1.6156665668766903	0.000570597320249902
EFNB3	1.80149388019239e-06	1.6774866355150608	2.9839679476563343e-05
EFR3A	2.6719200615749444e-06	1.1967711335545728	4.237692905948655e-05
EFR3B	1	1.0757073588600539	1.0
EFS	1	1.0673893212290042	1.0
EFTUD2	1	1.0079465833437848	1.0
EGF	1	1.0965855669795648	1.0
EGFL6	1	1.01538315365577	1.0
EGFL7	1	0.9535619193643109	1.0
EGFLAM	2.4206211368021242e-05	1.3554289773169972	0.0003139627669386145
EGFR	1	1.1308433403227882	1.0
EGLN3	1.1913854111450234e-10	1.5814234544548784	3.039025619595764e-08
